begin	end	'elab.conway.power'	'AMD RAPL PCKG'	'AMD RAPL SINGLE_CORE'	experiment	thread_count	frequency	cstate	
50581853796766200	50587832462080800	229.157	178.075	66.4056	3	104	2200000000	2	
50591825408269800	50597825213752200	230.427	186.497	75.0319	9	104	2200000000	2	
50601825064037800	50607824499062200	202.642	138.004	25.8755	11	104	2200000000	2	
50611826298414600	50617831921847400	412.258	330.258	154.708	7	104	2200000000	2	
50621831959891000	50627825866069000	250.339	181.477	69.8112	4	108	2200000000	2	
50631824089113800	50637823825470200	266.975	206.708	95.4481	5	108	2200000000	2	
50641830922782600	50647851907373400	340.595	231.448	53.1819	8	108	2200000000	2	
50651853266252200	50657832389144800	327.444	198.95	31.3589	14	108	2200000000	2	
50661826527775800	50667826086286200	326.905	194.286	26.7527	13	108	2200000000	2	
50671826916346600	50677825656144400	229.589	178.127	66.4803	3	108	2200000000	2	
50681825302145800	50687825032112200	231.156	186.791	75.3475	9	108	2200000000	2	
50691825552692200	50697827071685800	202.936	138.25	26.1536	11	108	2200000000	2	
50701829849612600	50707835720179400	415.126	331.976	155.159	7	108	2200000000	2	
50711835015118800	50717826417490200	252.539	183.219	71.601	4	112	2200000000	2	
50721823691440800	50727823624651200	269.161	209.588	98.4017	5	112	2200000000	2	
50731831286553800	50737853959611200	341.178	231.431	53.3261	8	112	2200000000	2	
50741855475889200	50747834453845800	327.81	198.976	31.4466	14	112	2200000000	2	
50751829039557800	50757829469814200	327.057	194.156	26.6936	13	112	2200000000	2	
50761829820826400	50767826221943600	229.377	178.164	66.5458	3	112	2200000000	2	
50771825084770800	50777824784515200	230.94	186.612	75.1876	9	112	2200000000	2	
50781824738792800	50787824579081200	202.833	138.462	26.3938	11	112	2200000000	2	
50791825259517200	50797827107466800	417.814	333.786	155.431	7	112	2200000000	2	
50801827025138400	50807824199553600	254.191	184.826	73.2455	4	116	2200000000	2	
50811823421771000	50817823299158000	271.722	212.384	101.24	5	116	2200000000	2	
50821823628225800	50827824299892200	341.935	231.051	53.1727	8	116	2200000000	2	
50831830158646600	50837844834840400	328.037	199.007	31.5382	14	116	2200000000	2	
50841850969008800	50847850562757200	327.36	194.079	26.6712	13	116	2200000000	2	
50851845511738800	50857829112505200	229.921	178.344	66.729	3	116	2200000000	2	
50861823861200800	50867824119521200	231.255	186.782	75.3591	9	116	2200000000	2	
50871824305511800	50877824279690200	203.43	138.813	26.7195	11	116	2200000000	2	
50881827252627000	50887835853219000	420.438	335.427	155.698	7	116	2200000000	2	
50891835731130600	50897826146453400	256.102	186.716	75.1448	4	120	2200000000	2	
50901823068393800	50907822942162200	274.395	215.543	104.404	5	120	2200000000	2	
50911823374616000	50917824317729000	342.339	231.105	53.3113	8	120	2200000000	2	
50921831129775200	50927848486440800	328.446	199.099	31.7181	14	120	2200000000	2	
50931854771006600	50937852206548400	327.45	193.864	26.482	13	120	2200000000	2	
50941845987117800	50947829148984200	229.782	178.377	66.7358	3	120	2200000000	2	
50951823710073800	50957823860916200	231.168	186.899	75.4455	9	120	2200000000	2	
50961824567384000	50967826176305000	203.451	139.107	27.0115	11	120	2200000000	2	
50971828235744000	50977829769137000	422.35	336.424	155.684	7	120	2200000000	2	
50981828900266200	50987824153390800	258.147	188.569	76.9987	4	124	2200000000	2	
50991822683188800	50997822548215200	276.844	218.473	107.382	5	124	2200000000	2	
51001824161283400	51007828557301600	342.908	230.845	53.2235	8	124	2200000000	2	
51011838830189000	51017862903383000	328.87	199.173	31.9085	14	124	2200000000	2	
