# Bench 2500000 1096.42
# Bench 2200000 1243.18
# targetLowbound : 1093 ; targetHighbound : 1100
# targetQ1 : 1100 ; targetQ3 : 1100
# startLowbound : 1242 ; startHighbound : 1244
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
0	888471381125	0
0	888471381125	0
2902275	888573871500	2898400
2721375	888601390425	2716625
3278075	888613872075	3274900
3090400	888638881700	3087125
2203225	888646369550	2200000
1462125	888666373325	1458900
3275125	888683871250	3271900
0	888683871250	0
0	888683871250	0
995925	888721351725	992725
0	888721351725	0
0	888721351725	0
0	888721351725	0
0	888721351725	0
2355575	888788876025	2352600
0	888788876025	0
0	888788876025	0
0	888788876025	0
0	888788876025	0
2232925	888851393025	2229725
2523750	888876368650	2520575
0	888876368650	0
1902175	888928869275	1898950
0	888928869275	0
0	888928869275	0
2353050	888996374750	2349775
1138050	889021394600	1134825
0	889021394600	0
0	889021394600	0
2213650	889078874875	2209825
0	889078874875	0
0	889078874875	0
1411250	889126382150	1407950
0	889126382150	0
1347100	889163872900	1343900
0	889163872900	0
0	889163872900	0
0	889163872900	0
0	889163872900	0
0	889163872900	0
0	889163872900	0
0	889163872900	0
1196275	889268891450	1193050
0	889268891450	0
0	889268891450	0
0	889268891450	0
0	889268891450	0
0	889268891450	0
0	889268891450	0
0	889268891450	0
1830750	889413902550	1827800
0	889413902550	0
0	889413902550	0
1594650	889458876150	1591500
0	889458876150	0
0	889458876150	0
0	889458876150	0
0	889458876150	0
0	889458876150	0
0	889458876150	0
2995925	889566366850	2992675
0	889566366850	0
0	889566366850	0
2622975	889608876200	2619750
0	889608876200	0
0	889608876200	0
0	889608876200	0
0	889608876200	0
0	889608876200	0
1808375	889711381000	1805150
0	889711381000	0
1490950	889761373175	1487675
0	889761373175	0
0	889761373175	0
3278425	889826385275	3275200
0	889826385275	0
3304175	889851385925	3300975
0	889851385925	0
0	889851385925	0
0	889851385925	0
0	889851385925	0
0	889851385925	0
975775	889976406775	972550
0	889976406775	0
2418750	890006379575	2415550
2194050	890021387350	2190850
0	890021387350	0
0	890021387350	0
0	890021387350	0
2715675	890083886025	2711800
0	890083886025	0
0	890083886025	0
0	890083886025	0
2640875	890141380950	2637950
0	890141380950	0
2233475	890168888325	2230275
0	890168888325	0
0	890168888325	0
0	890168888325	0
0	890168888325	0
2329225	890243901200	2326025
2401225	890251378075	2398275
0	890251378075	0
0	890251378075	0
3004850	890321408900	3001600
0	890321408900	0
0	890321408900	0
2885550	890361386825	2882350
0	890361386825	0
0	890361386825	0
2010300	890406391250	2007100
2550125	890413888625	2547250
0	890413888625	0
0	890413888625	0
1191025	890473891600	1187850
2756100	890493889075	2752900
0	890493889075	0
1527350	890523897675	1524425
1396475	890531394300	1393550
0	890531394300	0
0	890531394300	0
0	890531394300	0
2591775	890623909050	2588500
1263225	890643900325	1260050
0	890643900325	0
1821600	890691408450	1818375
3054100	890698888400	3050850
2636975	890726408650	2633750
2213525	890733890125	2210600
2136675	890741410725	2133750
2296300	890756415250	2293100
0	890756415250	0
0	890756415250	0
3001475	890831400050	2998225
0	890831400050	0
0	890831400050	0
976950	890876417750	973725
0	890876417750	0
1018825	890896406950	1015600
0	890896406950	0
0	890896406950	0
2955300	890946403200	2952075
0	890946403200	0
0	890946403200	0
1610975	890998898550	1607775
0	890998898550	0
0	890998898550	0
1476625	891056391350	1473425
2455675	891073890325	2452475
929650	891088894200	926475
0	891088894200	0
0	891088894200	0
993250	891118890075	989400
2022900	891143914550	2019675
0	891143914550	0
0	891143914550	0
0	891143914550	0
0	891143914550	0
0	891143914550	0
0	891143914550	0
0	891143914550	0
6775	891287017500	4225
1208525	891303894250	1205375
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
0	891303894250	0
3379675	891531401550	3376475
0	891531401550	0
1990450	891576397050	1987200
0	891576397050	0
0	891576397050	0
0	891576397050	0
0	891576397050	0
0	891576397050	0
0	891576397050	0
0	891576397050	0
0	891576397050	0
1746375	891691407375	1743225
0	891691407375	0
0	891691407375	0
0	891691407375	0
0	891691407375	0
3975	891746669575	1425
1571100	891758896625	1567925
0	891758896625	0
1436675	891806399500	1433475
0	891806399500	0
1363925	891836404000	1360225
2520700	891843900850	2517800
3420575	891863915550	3417350
0	891863915550	0
0	891863915550	0
1260200	891906392425	1256975
0	891906392425	0
0	891906392425	0
0	891906392425	0
3361650	891981400900	3358425
1160050	892001424175	1156800
0	892001424175	0
0	892001424175	0
0	892001424175	0
0	892001424175	0
0	892001424175	0
0	892001424175	0
0	892001424175	0
0	892001424175	0
0	892001424175	0
1905775	892163906500	1902575
